District,Thana/Upazila,Post Office,Code
Chittagong,Anawara,Anowara,4376
Chittagong,Anawara,Battali,4378
Chittagong,Anawara,Paroikora,4377
Chittagong,Boalkhali,Boalkhali,4366
Chittagong,Boalkhali,Charandwip,4369
Chittagong,Boalkhali,Iqbal Park,4365
Chittagong,Boalkhali,Kadurkhal,4368
Chittagong,Boalkhali,Kanungopara,4363
Chittagong,Boalkhali,Sakpura,4367
Chittagong,Boalkhali,Saroatoli,4364
Chittagong,Chittagong Sadar,Al- Amin Baria Madra,4221
Chittagong,Chittagong Sadar,Amin Jute Mills,4211
Chittagong,Chittagong Sadar,Anandabazar,4215
Chittagong,Chittagong Sadar,Bayezid Bostami,4210
Chittagong,Chittagong Sadar,Chandgaon,4212
Chittagong,Chittagong Sadar,Chawkbazar,4203
Chittagong,Chittagong Sadar,Chitt. Cantonment,4220
Chittagong,Chittagong Sadar,Chitt. Customs Acca,4219
Chittagong,Chittagong Sadar,Chitt. Politechnic In,4209
Chittagong,Chittagong Sadar,Chitt. Sailers Colon,4218
Chittagong,Chittagong Sadar,Chittagong Airport,4205
Chittagong,Chittagong Sadar,Chittagong Bandar,4100
Chittagong,Chittagong Sadar,Chittagong GPO,4000
Chittagong,Chittagong Sadar,Export Processing,4223
Chittagong,Chittagong Sadar,Firozshah,4207
Chittagong,Chittagong Sadar,Halishahar,4216
Chittagong,Chittagong Sadar,Halishshar,4225
Chittagong,Chittagong Sadar,Jalalabad,4214
Chittagong,Chittagong Sadar,Jaldia Merine Accade,4206
Chittagong,Chittagong Sadar,Middle Patenga,4222
Chittagong,Chittagong Sadar,Mohard,4208
Chittagong,Chittagong Sadar,North Halishahar,4226
Chittagong,Chittagong Sadar,North Katuli,4217
Chittagong,Chittagong Sadar,Pahartoli,4202
Chittagong,Chittagong Sadar,Patenga,4204
Chittagong,Chittagong Sadar,Rampura TSO,4224
Chittagong,Chittagong Sadar,Wazedia,4213
Chittagong,East Joara,Barma,4383
Chittagong,East Joara,Dohazari,4382
Chittagong,East Joara,East Joara,4380
Chittagong,East Joara,Gachbaria,4381
Chittagong,Fatikchhari,Bhandar Sharif,4352
Chittagong,Fatikchhari,Fatikchhari,4350
Chittagong,Fatikchhari,Harualchhari,4354
Chittagong,Fatikchhari,Najirhat,4353
Chittagong,Fatikchhari,Nanupur,4351
Chittagong,Fatikchhari,Narayanhat,4355
Chittagong,Hathazari,Chitt.University,4331
Chittagong,Hathazari,Fatahabad,4335
Chittagong,Hathazari,Gorduara,4332
Chittagong,Hathazari,Hathazari,4330
Chittagong,Hathazari,Katirhat,4333
Chittagong,Hathazari,Madrasa,4339
Chittagong,Hathazari,Mirzapur,4334
Chittagong,Hathazari,Nuralibari,4337
Chittagong,Hathazari,Yunus Nagar,4338
Chittagong,Jaldi,Banigram,4393
Chittagong,Jaldi,Gunagari,4392
Chittagong,Jaldi,Jaldi,4390
Chittagong,Jaldi,Khan Bahadur,4391
Chittagong,Lohagara,Chunti,4398
Chittagong,Lohagara,Lohagara,4396
Chittagong,Lohagara,Padua,4397
Chittagong,Mirsharai,Abutorab,4321
Chittagong,Mirsharai,Azampur,4325
Chittagong,Mirsharai,Bharawazhat,4323
Chittagong,Mirsharai,Darrogahat,4322
Chittagong,Mirsharai,Joarganj,4324
Chittagong,Mirsharai,Korerhat,4327
Chittagong,Mirsharai,Mirsharai,4320
Chittagong,Mirsharai,Mohazanhat,4328
Chittagong,Patiya,Budhpara,4371
Chittagong,Patiya,Patiya Head Office,4370
Chittagong,Rangunia,Dhamair,4361
Chittagong,Rangunia,Rangunia,4360
Chittagong,Rouzan,B.I.T Post Office,4349
Chittagong,Rouzan,Beenajuri,4341
Chittagong,Rouzan,Dewanpur,4347
Chittagong,Rouzan,Fatepur,4345
Chittagong,Rouzan,Gahira,4343
Chittagong,Rouzan,Guzra Noapara,4346
Chittagong,Rouzan,jagannath Hat,4344
Chittagong,Rouzan,Kundeshwari,4342
Chittagong,Rouzan,Mohamuni,4348
Chittagong,Rouzan,Rouzan,4340
Chittagong,Sandwip,Sandwip,4300
Chittagong,Sandwip,Shiberhat,4301
Chittagong,Sandwip,Urirchar,4302
Chittagong,Satkania,Baitul Ijjat,4387
Chittagong,Satkania,Bazalia,4388
Chittagong,Satkania,Satkania,4386
Chittagong,Sitakunda,Barabkunda,4312
Chittagong,Sitakunda,Baroidhala,4311
Chittagong,Sitakunda,Bawashbaria,4313
Chittagong,Sitakunda,Bhatiari,4315
Chittagong,Sitakunda,Fouzdarhat,4316
Chittagong,Sitakunda,Jafrabad,4317
Chittagong,Sitakunda,Kumira,4314
Chittagong,Sitakunda,Sitakunda,4310
